corridor,name,subtitle,dest_lat,dest_lon,n_source_isos,n_source_countries,min_total_cost,median_total_cost,p25_total_cost,p75_total_cost,min_gen_cost,median_gen_cost,min_transport_cost,median_transport_cost,best_source_country,dominant_mode,within_cap_points,colour,scenario,year
B,Corridor B,"Iberian Gateway (SW Europe, Africa & Americas)",37.26,-6.94,27,27,2.585208387261266,4.67535025989339,4.401644823096326,5.346082727354965,1.7260840365775596,2.8366641426124364,0.21629999999999996,1.7724870839411706,MAR,NH3,1543,#F4A261,Intermediate,2035
C,Corridor C,North Sea Hub (Global Seaborne),51.92,4.48,132,130,3.32071880546847,5.144072636315341,4.593522590934892,6.073913990384341,1.4070107795316793,2.83590471105102,1.572397422261285,2.1885561929660584,JPN,NH3,5534,#2196F3,Intermediate,2035
D,Corridor D,"Nordic, Baltic & Atlantic (Offshore Wind)",53.55,9.99,5,3,2.771414723558685,4.5856869315086275,4.125529903397446,4.737511480303162,1.6103108949604976,2.676725017322296,0.8174036413688548,1.8237719518456128,GBR,NH3,219,#4CAF50,Intermediate,2035
E,Corridor E,"SE Europe, Ukraine & Middle East Gateway",48.21,16.37,16,16,2.5450728430212664,4.458256194124022,4.151530860264879,5.840456837367637,1.4374081073613423,3.0139934053800754,0.6493595721292902,2.0021327004197955,TUR,NH3,711,#9C27B0,Intermediate,2035
EU,EU Domestic,EU Domestic Production,,,27,23,1.7152200176033807,3.152764341266823,2.8383176405269204,3.508826487617406,1.7152200176033807,3.152764341266823,0.0,0.0,IRL,Domestic,328,#009688,Intermediate,2035
A,Corridor A,North Africa & Middle East via Italy,41.9,12.5,19,19,2.646884897440988,3.77737293191995,3.3986316454405436,4.670069926414508,1.6040755182123831,2.1164425083551226,0.5999694628032692,1.569074985112832,MAR,H2 Gas,525,#E63946,Intermediate,2040
B,Corridor B,"Iberian Gateway (SW Europe, Africa & Americas)",37.26,-6.94,27,27,2.3308658491279597,4.361798604208719,4.108958281815239,4.9556011437533165,1.6086277191038223,2.5230608505051264,0.21629999999999996,1.7724870839411706,MAR,NH3,1543,#F4A261,Intermediate,2040
C,Corridor C,North Sea Hub (Global Seaborne),51.92,4.48,132,131,3.2175888379946005,4.839863804018253,4.3214026716604055,5.679480710292912,1.3111390130119753,2.5270139618919387,1.572397422261285,2.188343432260829,JPN,NH3,5535,#2196F3,Intermediate,2040
D,Corridor D,"Nordic, Baltic & Atlantic (Offshore Wind)",53.55,9.99,5,3,2.6509877458085054,4.299060120287109,3.9887722507893786,4.439967494455885,1.5032762345551445,2.4015372795205665,0.8174036413688548,1.8237719518456128,GBR,NH3,219,#4CAF50,Intermediate,2040
E,Corridor E,"SE Europe, Ukraine & Middle East Gateway",48.21,16.37,16,16,2.426191987440138,4.172386701858262,3.8994935846572574,5.5913309122447075,1.340415657915714,2.701849942979946,0.6493595721292902,2.0021327004197955,TUR,NH3,711,#9C27B0,Intermediate,2040
EU,EU Domestic,EU Domestic Production,,,27,23,1.607303814080115,2.912614780969805,2.582373599877734,3.1920156842292555,1.607303814080115,2.912614780969805,0.0,0.0,IRL,Domestic,328,#009688,Intermediate,2040
A,Corridor A,North Africa & Middle East via Italy,41.9,12.5,19,19,2.522678145118054,3.553356253346008,3.163378157638216,4.321733221387822,1.5034364661050392,1.8815815469187254,0.5999694628032692,1.569074985112832,DZA,H2 Gas,525,#E63946,Intermediate,2045
B,Corridor B,"Iberian Gateway (SW Europe, Africa & Americas)",37.26,-6.94,27,27,2.1088941430345614,4.081649170719649,3.8479252660624597,4.611011721363504,1.5067556073857336,2.2467369169663907,0.21629999999999996,1.7724870839411706,MAR,NH3,1543,#F4A261,Intermediate,2045
