ISO_A3,Year,Capacity_kt,Source
BGD,2023,0.3,Theoretical growth
LTU,2023,0.3,Theoretical growth
SRB,2023,5.4,IEA-anchored growth
NIC,2023,0.2,Theoretical growth
AZE,2023,0.2,Theoretical growth
CHE,2023,0.7,IEA-anchored growth
BEN,2023,0.2,Theoretical growth
HND,2023,0.2,Theoretical growth
MWI,2023,0.2,Theoretical growth
GTM,2023,0.2,Theoretical growth
HRV,2023,0.2,Theoretical growth
EST,2023,15.7,IEA-anchored growth
LBR,2023,0.2,Theoretical growth
GEO,2023,0.2,Theoretical growth
DJI,2023,0.2,Theoretical growth
LKA,2023,0.2,Theoretical growth
BEL,2023,3.4,IEA-anchored growth
LSO,2023,0.2,Theoretical growth
QAT,2023,0.2,Theoretical growth
BIH,2023,0.2,Theoretical growth
SLE,2023,0.1,Theoretical growth
PAN,2023,14.2,IEA-anchored growth
MDA,2023,0.1,Theoretical growth
CRI,2023,0.1,IEA-anchored growth
TGO,2023,0.1,Theoretical growth
SVK,2023,0.9,IEA-anchored growth
BTN,2023,0.1,Theoretical growth
TWN,2023,0.1,Theoretical growth
DOM,2023,0.1,Theoretical growth
ISR,2023,0.1,Theoretical growth
ARM,2023,0.1,Theoretical growth
GNB,2023,0.1,Theoretical growth
SLB,2023,0.1,Theoretical growth
SWZ,2023,0.1,Theoretical growth
MKD,2023,0.1,Theoretical growth
ALB,2023,0.1,Theoretical growth
HTI,2023,0.1,Theoretical growth
FJI,2023,0.1,Theoretical growth
GNQ,2023,0.1,Theoretical growth
SVN,2023,1.8,IEA-anchored growth
BDI,2023,0.0,Theoretical growth
RWA,2023,0.0,Theoretical growth
BHS,2023,0.0,Theoretical growth
NCL,2023,0.0,Theoretical growth
FLK,2023,0.0,Theoretical growth
BLZ,2023,0.0,Theoretical growth
SLV,2023,0.0,Theoretical growth
GMB,2023,0.0,Theoretical growth
JAM,2023,0.0,Theoretical growth
ATF,2023,0.0,Theoretical growth
MNE,2023,0.0,Theoretical growth
TLS,2023,0.0,Theoretical growth
TTO,2023,0.0,Theoretical growth
BRN,2023,0.0,Theoretical growth
VUT,2023,0.0,Theoretical growth
LBN,2023,0.0,Theoretical growth
PRI,2023,0.0,Theoretical growth
PSE,2023,0.0,Theoretical growth
CYP,2023,0.0,Theoretical growth
LUX,2023,0.0,Theoretical growth
CHN,2024,510.2,IEA-anchored growth
AUS,2024,866.8,IEA-anchored growth
RUS,2024,89.8,Theoretical growth
CAN,2024,67.5,IEA-anchored growth
