,Country code,Risk Free,Country Risk,Equity Risk,Lenders Margin,Technology Risk,Equity Cost,Debt Cost,WACC,Debt Share,Tax Rate,Year
65,IND,3.4871685770961,1.8757473616039628,1.081436991723047,1.0503436978262664,2.8893818679418604,16.847178684538143,11.760759442929167,10.384078496191238,75.02454984473333,30.0,2024
66,IDN,3.7506718019198755,1.7310426209076732,1.052635254861677,1.1807595848535297,3.2783724463178774,16.721042496765662,11.735748822216712,10.993481708860632,75.68971697779037,22.0,2024
67,IRQ,4.0745816903404055,7.678724973641433,1.6010203247021593,1.0714238909945333,3.7728010075212826,24.187315511953656,17.276591040581863,18.198551887199812,63.024934764384305,15.0,2024
68,IRL,4.057632792851829,0.5793610028042462,0.9247555431971951,1.3762535333498633,3.4478210092628667,14.979957823055857,10.443661666253409,10.385823881466,78.64305904856363,12.5,2024
69,IMN,4.5,0.6377202146467906,0.9247555431971951,1.5728611809712725,3.777138819028727,14.979957823055857,10.443661666253409,11.412475757843985,78.64305904856363,0.0,2024
70,ISR,3.7094515702596436,1.4349141010984112,1.0226814485258517,1.1762749582610135,3.233850797492118,16.313220861482286,11.433097776675757,10.57717287563704,76.3814907961697,23.0,2024
71,ITA,3.561105270968085,1.9115123386183646,1.081436991723047,1.0832044506582597,1.7656797661162082,15.363178684538141,10.276759442929167,9.402938818083964,75.02454984473333,27.81,2024
72,JAM,3.7146415553823813,4.147927191161802,1.3072426087161868,1.047144592823492,3.369151478575561,20.18752639667437,14.308282709314819,13.586107426659424,69.80963952156613,25.0,2024
73,JPN,3.4507246361800856,0.5879867691822502,0.9351241684672881,1.1017273714710778,1.6588523374729909,13.37112685065395,8.798425489709894,7.734415282773693,78.4035988806631,29.74,2024
74,JEY,4.5,0.5247745320780438,0.9143869179271013,1.5776503843292835,3.7723496156707164,14.838788795457765,10.338897842796925,11.289161450005146,78.88251921646417,0.0,2024
75,JOR,3.8532748113775637,3.398386194753302,1.2185332591831677,1.149733668662109,3.4313819404201054,18.97974693833514,13.411969997520455,13.051309874396248,71.85835429138181,20.0,2024
76,KAZ,3.812566582834473,1.47118991157599,1.0226814485258517,1.2221038527387154,3.310614195742269,16.313220861482286,11.433097776675757,10.8391559914173,76.3814907961697,20.0,2024
77,KEN,3.649163380680812,6.976634349859784,1.6010203247021593,0.8823490867013802,3.456100710330251,24.187315511953656,17.276591040581863,16.565267852274385,63.024934764384305,30.0,2024
78,KOR,3.562875671708406,0.4229616292926487,0.9143869179271013,1.1611506828663527,3.0747126157203075,14.838788795457765,10.338897842796925,9.136087517514817,78.88251921646417,26.4,2024
79,KWT,3.9707757075555237,0.6687016412265936,0.9351241684672881,1.3328611809712725,3.3879499380114053,15.12112685065395,10.548425489709892,10.295412636232083,78.4035988806631,15.0,2024
80,KGZ,4.206210736424498,6.7934009566269,1.5030944193735016,1.1751570543020087,3.825560154558228,22.854052473527226,16.287154930159517,17.503423321285137,65.28650301677825,10.0,2024
81,LAO,3.983780602883355,10.237512007919038,1.846411122761031,0.917723372651813,3.818549121887287,27.528315831775174,19.756001529051986,20.803976228102524,57.35771079073831,20.0,2024
82,LVA,3.8044249371258547,1.0975118407681714,0.9835110863943889,1.2365778895540365,3.2864606468067015,15.779915646111712,11.03732333250682,10.408486400649153,77.28611809712727,20.0,2024
83,LBN,4.194,19.958727498435238,2.598,0.664,4.3222,37.76121249739206,27.35,31.736927498435236,40.0,17.0,2024
84,LIE,4.05,0.0,0.8659999999999998,1.4000000000000001,3.415,14.18,9.85,9.730999999999998,80.0,12.5,2024
85,LTU,3.972930849066629,0.8037732346142505,0.9489490021607455,1.327433417165527,1.850911262087776,13.559352220784739,8.938110587651872,8.903997765094928,78.08431865679572,15.0,2024
86,LUX,3.60216,0.0,0.8659999999999998,1.20096,1.680768,12.43,8.1,7.349888,80.0,24.94,2024
87,MAC,4.075327481137756,0.5816953712779479,0.9247555431971951,1.3841178392547198,3.460993721653501,14.979957823055857,10.443661666253409,10.426889956521121,78.64305904856363,12.0,2024
